group,log_text,Data Issue,Coding Issue,Configure Issue,Design Flaw,Enviorment Issue,Boundary Condition Missed,Logic Error,Network,Security
group25,"java.lang.NumberFormatException: For input string: ""Yes"" Error while validating memory",0,1,0,0,0,0,0,0,0
group26,"java.lang.NumberFormatException: For input string: ""Minimum $12.00""  The input data format is invalid :",1,1,0,0,0,0,0,0,0
group27,"java.lang.NumberFormatException: For input string: ""AdministraÃ§Ã£o de Empresas"" Error to parse  long value",1,0,0,0,0,0,0,0,0
group28,"java.lang.NumberFormatException: For input string: ""299ae3ec56ed443382ebf6643138c2e4"" Error while validating memory",0,1,0,0,0,0,0,0,0
group29,"Caused by: java.lang.NumberFormatException: For input string: ""185:165:45:35:72:71"" parse elem.getElementValue() fail",1,1,0,0,0,0,0,0,0
group30,"java.lang.NumberFormatException: For input string: ""11,000"" java.lang.NumberFormatException (errorId=34e807d2-1a75-4449-a4b1-98f33ead3a35, fingerprint=9f06d901aded00dcdb86c40e8e8510212a3aec53, timestamp=2020-10-13T19:37:22.741-0400): For input string: ""11,000""",1,0,0,0,0,0,0,0,0
group31,"java.lang.NumberFormatException: For input string: ""$35,000.00"" The input data format is invalid :",1,1,0,0,0,0,0,0,0
group32,"java.lang.NumberFormatException: For input string: ""UNDEFINED"" The input data format is invalid :",1,1,0,0,0,0,0,0,0
group33,"java.lang.NumberFormatException: For input string: ""$12.00 Hourly""  The input data format is invalid :",1,0,0,0,0,0,0,0,0
group34,"java.lang.NumberFormatException: For input string: ""abb5b89fc60343bc94a5d5a93ef0b6ae"" Exception looking up folder map Id 'null'",0,1,0,0,0,0,0,0,0
group35,"java.lang.NumberFormatException: For input string: ""Gurgaon""  Gurgaon is not a picklist",1,1,0,0,0,0,0,0,0
group36,"java.lang.NumberFormatException: For input string: ""[com.successfactors.coengine.kernel.CORecord@1d8226b3]"" """,1,0,0,0,0,0,0,0,0
group37,"java.lang.NumberFormatException: For input string: ""dff5ae12f9b6457fbeeb829e4fcfd2c3"" Exception looking up folder map Id 'null'",1,0,0,0,0,0,0,0,0
group38,"Caused by: java.lang.NumberFormatException: For input string: ""500.00""  Unable to initialize the picklist ReferralPayout",1,1,0,0,0,0,0,0,0
group39,"java.lang.NumberFormatException: For input string: ""DTSS2 T-08"" parse elem.getElementValue() fail",1,0,0,0,0,0,0,0,0
group40,"Caused by: com.successfactors.sca.ServiceApplicationException: Error executing com.successfactors.onb2compliance.service.migrate.B2011AddProcessReferencesInComplianceMDFEntities: java.lang.NumberFormatException: For input string: ""724,419,092"" Job Execution failed.",1,0,0,0,0,0,0,0,0
group41,"Caused by: java.lang.NumberFormatException: For input string: ""Si"" Error occurred:",1,0,0,0,0,0,0,0,0
group42,"java.lang.NumberFormatException: For input string: ""ques5 test""  For input string: ""ques5 test""",1,0,0,0,0,0,0,0,0
group43,"java.lang.NumberFormatException: For input string: ""239a8fcb4af34883816a7b1acff22ff3""  Error happen when invoke rule function: toNumber, root cause: A blank string is not a valid number",0,1,0,0,0,0,0,0,0
group44,"java.lang.NumberFormatException: For input string: ""$10.00 Hourly""  The input data format is invalid :",1,1,0,0,0,0,0,0,0
group45,"java.lang.NumberFormatException: For input string: ""4b612294bfa44fd6920337b7458b9a5f"" parse elem.getElementValue() fail",1,0,0,0,0,0,0,0,0
group46,"Caused by: java.lang.NumberFormatException: Unparseable number: ""$97""  Error saving candidate bean.",1,0,0,0,0,0,0,0,0
group47,"Caused by: java.lang.NumberFormatException: For input string: """"  ExceptionRootCauseTag=101024e482f09e505b51698efbe86ad78bf42160,ExceptionStackTraceTag=036bdebf4cfd23223b0a3fea48fe1dab1d50b734",1,0,0,0,0,0,0,0,0
group48,"java.lang.NumberFormatException: For input string: ""NULL""  Failed to parse sf.sfv4.maxSQLCacheSize property",0,1,0,0,0,0,0,0,0
group50,"java.lang.NumberFormatException: For input string: ""JR""  Exception occured while making rest call to rmk, please check the exception trace for more details",1,1,0,0,0,0,0,0,0
group51,"Caused by: java.lang.NumberFormatException: For input string: ""WRC"" IllegalArgumentException when processing msgKey=This WRC- {WRC} can only be applied on working days - 10/11/2020 and args=null",1,1,0,0,0,0,0,0,0
group52,"java.lang.NumberFormatException: For input string: ""Consulting (C101010)"" Error while validating memory",0,1,0,0,0,0,0,0,0
group53,java.lang.NumberFormatException: Unable to parse Number: Glassdoor  Invalid input: Glassdoor,0,1,0,0,0,0,0,0,0
group54,"java.lang.NumberFormatException: For input string: ""d416464bfb2145189da1c9a9804c1d6e"" IllegalArgumentException when processing msgKey=This WRC- {WRC} can only be applied on working days - 10/03/2020 and args=null",1,0,0,0,0,0,0,0,0
group55,"java.lang.NumberFormatException: For input string: ""be2be01367c941bf9e8f643f869c060b""  For input string: """"",0,1,0,0,0,0,0,0,0
group56,"java.lang.NumberFormatException: For input string: ""Http://Www.Google.Com ""  Exception when getting career page",0,1,0,0,0,0,0,0,0
group57,"java.lang.NumberFormatException: For input string: ""7417f56d1a4c44d49e83d2e604d94a60"" IllegalArgumentException when processing msgKey=This WRC- {WRC} can only be applied on working days - 09/27/2020 and args=null",1,0,0,0,0,0,0,0,0
group58,"java.lang.NumberFormatException: For input string: ""../../../../../../../../../etc/passwd""  Failed to parse the reqId = ../../../../../../../../../etc/passwd; RMK Job Search redirect cannot be performed.",0,1,0,0,0,0,0,0,0
group59,"java.lang.NumberFormatException: For input string: ""YUCATÃN"" Error while getting state description of office location",1,0,0,0,0,0,0,0,0
group60,"java.lang.NumberFormatException: For input string: ""42050.04"" Invalid Number Format specified in ECT Component",1,1,0,0,0,0,0,0,0
group61,"java.lang.NumberFormatException: For input string: ""129150.0"" Invalid Number Format specified in ECT Component",1,1,0,0,0,0,0,0,0
group62,"java.lang.NumberFormatException: For input string: ""Modified""  Message :",1,1,0,0,0,0,0,0,0
group63,"java.lang.NumberFormatException: For input string: ""Hauts-de-Seine"" Error while getting state description of office location",1,1,0,0,0,0,0,0,0
group64,"java.lang.NumberFormatException: For input string: ""b634ad1f98094c34b73209afce6a5fc9""  Unable to fetch attachment items",0,1,0,0,0,0,0,0,0
group65,"java.lang.NumberFormatException: For input string: ""119,300.00"" The input data format is invalid :",0,1,0,0,0,0,0,0,0
group66,"java.lang.NumberFormatException: For input string: ""79,500.00"" The input data format is invalid :",1,1,0,0,0,0,0,0,0
group67,"Caused by: java.lang.NumberFormatException: For input string: ""281:282:283:284""  Job Execution failed.",0,1,0,0,0,0,0,0,0
group68,"java.lang.NumberFormatException: For input string: ""1,300.00"" java.lang.NumberFormatException (errorId=f58616d4-a365-4add-a876-1e99f4345742, fingerprint=7664e61cba664d50fa95d99cac80674040c03f6f, timestamp=2020-10-14T10:00:07.778+1100): null",1,0,0,0,0,0,0,0,0
group69,"Caused by: java.lang.NumberFormatException: For input string: ""BR"" ",1,1,0,0,0,0,0,0,0
group70,"java.lang.NumberFormatException: For input string: ""2609aa5e499540fb963ed1834af4bb27""  Error happen when invoke rule function: toNumber, root cause: A blank string is not a valid number",1,1,0,0,0,0,0,0,0
group71,"java.lang.NumberFormatException: For input string: ""80,000.00"" The input data format is invalid :",1,1,0,0,0,0,0,0,0
group72,"java.lang.NumberFormatException: For input string: ""d5b09e029a47462ba09b7b5d74cd0957"" parse elem.getElementValue() fail",0,1,0,0,0,0,0,0,0
group73,"java.lang.NumberFormatException: For input string: ""288000.0"" Invalid Number Format specified in ECT Component",1,0,0,0,0,0,0,0,0
group74,"java.lang.NumberFormatException: For input string: ""John needs to evolve, elevate and adapt his communication style to the demands of the executive leadership team he will now support on an ongoing basis.  A more focused narrative will go a long way in improving his effectiveness."" Unable to find data model with background element sysScoreCardDevelopmentObjectivesPortlet",1,1,0,0,0,0,0,0,0
group75,"java.lang.NumberFormatException: For input string: ""e647c01f088e45d8bb3b8a79202b68ce"" Exception looking up folder map Id 'null'",1,0,0,0,0,0,0,0,0
group76,"java.lang.NumberFormatException: For input string: ""Multichoice"" Exception updating XML content",1,0,0,0,0,0,0,0,0
group77,"java.lang.NumberFormatException: For input string: ""Interim""  Exception when getting career page",1,0,0,0,0,0,0,0,0
group78,"java.lang.NumberFormatException: For input string: ""3881fffe04eb40078448d18f68cfbce4""  For input string: """"",1,0,0,0,0,0,0,0,0
group79,"java.lang.NumberFormatException: For input string: ""67,500.00""  For input string: """"",1,0,0,0,0,0,0,0,0
group80,"java.lang.NumberFormatException: Unable to parse Number: $ 40,000.00 Invalid input: $ 40,000.00",1,1,0,0,0,0,0,0,0
group81,"java.lang.NumberFormatException: For input string: ""NaN"" : Unexpected error occured while processing eventID: ca5acaf5-5d0b-4dea-91d8-b7f4631ba4c6 Details: null",1,1,0,0,0,0,0,0,0
group82,"java.lang.NumberFormatException: For input string: ""5a4c16f5e2fd44f2bf721116b6b243cd"" Exception looking up folder map Id 'null'",1,0,0,0,0,0,0,0,0
group83,"Caused by: java.lang.NumberFormatException: For input string: ""Non Binary""  ExceptionRootCauseTag=9a6baad28747b693c54f5a08db52203750f42c1a,ExceptionStackTraceTag=06cbf353095645fd1fb607f5471997fe70d54b75",1,0,0,0,0,0,0,0,0
group85,"java.lang.NumberFormatException: For input string: ""51,923.00"" parse elem.getElementValue() fail",1,0,0,0,0,0,0,0,0
group87,"java.lang.NumberFormatException: For input string: ""12000.0"" Invalid Number Format specified in ECT Component",1,1,0,0,0,0,0,0,0
group88,"java.lang.NumberFormatException: For input string: ""1.344E7"" Invalid Number Format specified in ECT Component",1,1,0,0,0,0,0,0,0
group89,"java.lang.NumberFormatException: For input string: ""1.200,00""  Error happen when invoke rule function: toNumber, root cause: A blank string is not a valid number",1,0,0,0,0,0,0,0,0
group90,"java.lang.NumberFormatException: For input string: ""141750.0"" Invalid Number Format specified in ECT Component",1,1,0,0,0,0,0,0,0
group94,"java.lang.NumberFormatException: For input string: ""adsadsa"" The input data format is invalid :",1,0,0,0,0,0,0,0,0
group95,"java.lang.NumberFormatException: For input string: ""aasdads"" The input data format is invalid :",1,1,0,0,0,0,0,0,0
group96,"java.lang.NumberFormatException: For input string: ""98,200.00"" The input data format is invalid :",1,1,0,0,0,0,0,0,0
group97,"java.lang.NumberFormatException: For input string: ""65,400.00"" The input data format is invalid :",1,1,0,0,0,0,0,0,0
group98,"java.lang.NumberFormatException: For input string: ""TAMAULIPAS"" Error while getting state description of office location",1,0,0,0,0,0,0,0,0
group99,"java.lang.NumberFormatException: For input string: ""Open"" Error while validating memory",1,0,0,0,0,0,0,0,0
group100,"java.lang.NumberFormatException: For input string: ""F"" Error to parse  long value",1,0,0,0,0,0,0,0,0
group101,"Caused by: java.lang.NumberFormatException: For input string: ""HBO/WO""  ExceptionRootCauseTag=1967db42430272928bb954a1fa6081f8e847f332,ExceptionStackTraceTag=81f4c7ddaed5c30403a26df9f607c6688dbe7e6b",1,0,0,0,0,0,0,0,0
group102,"java.lang.NumberFormatException: For input string: ""c530f7d9302c4142b0a9c8817b2f2d3d"" Invalid parameter",1,0,0,0,0,0,0,0,0
group103,"java.lang.NumberFormatException: For input string: ""3615839b63a64648bc0d9453a2ee7f65"" Exception looking up folder map Id 'null'",1,0,0,0,0,0,0,0,0
group105,"java.lang.NumberFormatException: For input string: ""{id:reference:c0-e13, primaryDisplayText:reference:c0-e14}"" Error formating dependent name for old field value",1,1,0,0,0,0,0,0,0
group106,"java.lang.NumberFormatException: For input string: ""Contract""  Failed to parse the reqId = Contract; RMK Job Search redirect cannot be performed.",1,0,0,0,0,0,0,0,0
group107,"java.lang.NumberFormatException: For input string: ""(null)"" java.lang.NumberFormatException (errorId=97a57009-15e2-4604-b741-80e0ca677017, fingerprint=92135eccb8a1930a5231a2a9da0475febeb67e68, timestamp=2020-10-13T21:57:23.760+0000): For input string: ""(null)""",1,0,0,0,0,0,0,0,0
group108,"java.lang.NumberFormatException: For input string: ""0081 - Banco de Sabadell S.A."" parse elem.getElementValue() fail",1,0,0,0,0,0,0,0,0
group109,"java.lang.NumberFormatException: For input string: ""L0002""  RscLearningCompetencyRating addCompetenciesRating system error!",1,1,0,0,0,0,0,0,0
group110,"java.lang.NumberFormatException: For input string: ""Permanent Employees"" parse elem.getElementValue() fail",1,0,0,0,0,0,0,0,0
group111,"java.lang.NumberFormatException: For input string: ""13/Oct/2020"" Exception looking up folder map Id 'null'",1,0,0,0,0,0,0,0,0
group112,"java.lang.NumberFormatException: For input string: ""f440f1cb77424adbb2c12f747b728e64"" Exception looking up folder map Id 'null'",1,0,0,0,0,0,0,0,0
group113,"java.lang.NumberFormatException: For input string: ""224,999.00"" parse elem.getElementValue() fail",1,0,0,0,0,0,0,0,0
group114,"java.lang.NumberFormatException: For input string: ""2932.6""  Unable to convert String value 2932.6to Long",1,1,0,0,0,0,0,0,0
group115,"java.lang.NumberFormatException: For input string: ""2d94fab2f94c46189151fe8ab0e4b503"" Exception looking up folder map Id 'null'",1,0,0,0,0,0,0,0,0
group116,"java.lang.NumberFormatException: For input string: ""0,00"" parse elem.getElementValue() fail",1,0,0,0,0,0,0,0,0
group117,"java.lang.NumberFormatException: For input string: ""62a6ce43fc554964a6795516b544f6d9""  Failed to parse sf.sfv4.maxSQLCacheSize property",1,1,0,0,0,0,0,0,0
group118,"java.lang.NumberFormatException: For input string: ""c9cbbe7676444f1e8d9b58d92913c17d""  The input data format is invalid :",1,1,0,0,0,0,0,0,0
group119,"java.lang.NumberFormatException: For input string: ""00819774 - D. Servicios y Procesos Operativos"" parse elem.getElementValue() fail",1,0,0,0,0,0,0,0,0
group120,java.lang.NumberFormatException: Unable to parse Number: â‚¬70.000  Invalid input: â‚¬70.000,1,0,0,0,0,0,0,0,0
group121,"java.lang.NumberFormatException: For input string: ""Pending Approval"" Error while validating memory",1,0,0,0,0,0,0,0,0
group122,"java.lang.NumberFormatException: For input string: ""c643f4c6baf649bfa2396d31f334fa19"" parse elem.getElementValue() fail",1,0,0,0,0,0,0,0,0
group123,"java.lang.NumberFormatException: For input string: ""2c507fad053442c781989ce10ba0be38""  Error happen when invoke rule function: toNumber, root cause: A blank string is not a valid number",1,0,0,0,0,0,0,0,0
group124,"java.lang.NumberFormatException: For input string: ""1,500.00"" : Unexpected error occured while processing eventID: 8bd4c2b4-d571-4b3c-be8d-b31643f7259b Details: null",1,1,0,0,0,0,0,0,0
group125,"java.lang.NumberFormatException: For input string: ""undefined"" ",1,1,0,0,0,0,0,0,0
group126,java.lang.NumberFormatException: Unable to parse Number: .  Invalid input: .,1,0,0,0,0,0,0,0,0
group127,"java.lang.NumberFormatException: For input string: ""00819696 - D. Territorial Noroeste"" parse elem.getElementValue() fail",1,0,0,0,0,0,0,0,0
group128,"java.lang.NumberFormatException: For input string: ""5fdadce998b146bf88606cf3590b3b6f"" Exception looking up folder map Id 'null'",1,0,0,0,0,0,0,0,0
group129,"java.lang.NumberFormatException: For input string: ""e6f7a7a196de429bbb763b6f86360fa4"" parse elem.getElementValue() fail",1,0,0,0,0,0,0,0,0
group130,"java.lang.NumberFormatException: For input string: ""00819770 - D. Territorial CataluÃ±a"" parse elem.getElementValue() fail",1,0,0,0,0,0,0,0,0
group131,"java.lang.NumberFormatException: For input string: ""< 15 days""  For input string: ""< 15 days""",1,0,0,0,0,0,0,0,0
group132,"java.lang.NumberFormatException: For input string: ""00819617 - D. de Sabadell EspaÃ±a"" parse elem.getElementValue() fail",1,0,0,0,0,0,0,0,0
group133,"java.lang.NumberFormatException: For input string: ""0d6bc19146214db6bcdd9a87bfcbed49"" parse elem.getElementValue() fail",1,0,0,0,0,0,0,0,0
group134,"TotalStackTree: java.lang.NumberFormatException: For input string: """" ExceptionRootCauseTag=101024e482f09e505b51698efbe86ad78bf42160,ExceptionStackTraceTag=c73bb139be6d0d099c4b640d49740cbfd1f6bfc2",1,1,0,0,0,0,0,0,0
group135,"java.lang.NumberFormatException: For input string: ""Year Round"" Error while validating memory",1,0,0,0,0,0,0,0,0
group136,"java.lang.NumberFormatException: For input string: ""14.5""  Unable to convert String value 14.5to Long",1,0,0,0,0,0,0,0,0
group137,"java.lang.NumberFormatException: For input string: ""65fce65c25e44134b46e2ad2f87ce96c""  Unable to initialize the picklist ReferralPayout",1,1,0,0,0,0,0,0,0
group138,"java.lang.NumberFormatException: For input string: ""65,000"" The input data format is invalid :",1,0,0,0,0,0,0,0,0
group139,"Caused by: java.lang.NumberFormatException: For input string: ""undefined"" parse elem.getElementValue() fail",1,0,0,0,0,0,0,0,0
group140,java.lang.NumberFormatException: Unable to parse Number: According the company  Invalid input: According the company,1,1,0,0,0,0,0,0,0
group141,"java.lang.NumberFormatException: For input string: ""45,000.00"" parse elem.getElementValue() fail",1,0,0,0,0,0,0,0,0
group142,"java.lang.NumberFormatException: For input string: ""Support Staff"" Error while validating memory",1,0,0,0,0,0,0,0,0
group143,"java.lang.NumberFormatException: For input string: ""e5b83ca221d14a07a664bc942f1af262"" IllegalArgumentException when processing msgKey=This WRC- {WRC} can only be applied on working days - 10/03/2020 and args=null",1,0,0,0,0,0,0,0,0
group144,"java.lang.NumberFormatException: For input string: ""0a8f4502da434dcda9e4b2c153cb07fc"" Failed to parse sf.sfv4.maxSQLCacheSize property",1,1,0,0,0,0,0,0,0
group145,"java.lang.NumberFormatException: For input string: ""N/A"" Exception when parsing optionIdStr",1,0,0,0,0,0,0,0,0
group146,"java.lang.NumberFormatException: For input string: ""1.100,00""  java.lang.NumberFormatException: For input string: ""0.5""",1,0,0,0,0,0,0,0,0
group147,"java.lang.NumberFormatException: For input string: ""12.95""  Unable to convert String value 12.95to Long",1,1,0,0,0,0,0,0,0
group148,"java.lang.NumberFormatException: For input string: ""19486a212a944d7d9bbb1672a449a201""  For input string: """"",0,1,0,0,0,0,0,0,0
group149,java.lang.NumberFormatException: INVALID Number Format error for field value INVALID for Position-effectiveStartDate in object Position,1,1,0,0,0,0,0,0,0
group150,"java.lang.NumberFormatException: For input string: ""On Hold (Remove Postings)"" Error while validating memory",0,1,0,0,0,0,0,0,0
group153,"java.lang.NumberFormatException: For input string: ""70a3cab7610f4d4288ade3193b1cbb76""  For input string: """"",1,1,0,0,0,0,0,0,0
group154,"java.lang.NumberFormatException: For input string: ""0.0"" Invalid Number Format specified in ECT Component",1,1,0,0,0,0,0,0,0
group155,"java.lang.NumberFormatException: For input string: ""M"" Error to parse  long value",1,0,0,0,0,0,0,0,0
group157,"java.lang.NumberFormatException: For input string: ""0926a674cb3c47e78eb2b6e08a24f405"" Parse field type currency error, value =",1,1,0,0,0,0,0,0,0
group158,"java.lang.NumberFormatException: For input string: ""4414929bf13d4c709f377e8f86671b0f"" Parse field type currency error, value =",1,1,0,0,0,0,0,0,0
group159,"java.lang.NumberFormatException: For input string: ""280,000.00""  The input data format is invalid :",1,0,0,0,0,0,0,0,0
group160,"java.lang.NumberFormatException: For input string: ""Low""  with root cause",1,1,0,0,0,0,0,0,0
group161,"Caused by: java.lang.NumberFormatException: For input string: ""Low"" ended request due to exception",1,0,0,0,0,0,0,0,0
group162,"java.lang.NumberFormatException: For input string: ""7b06f92794d046699c0ae9532e939cdc"" The input data format is invalid :",1,0,0,0,0,0,0,0,0
group163,"java.lang.NumberFormatException: For input string: ""0d322760fed54460ba11be45be25db29"" Exception reading form subtype(AKA version-numbernull). Assuming DEFAULT version : 1",1,1,0,0,0,0,0,0,0
group164,"java.lang.NumberFormatException: For input string: ""9815 - FONOMED Gest.Tel.Med.S.A."" parse elem.getElementValue() fail",1,0,0,0,0,0,0,0,0
group165,"java.lang.NumberFormatException: For input string: ""e4df7b82035c48eba533c8f93c47d796"" parse elem.getElementValue() fail",1,0,0,0,0,0,0,0,0
group166,"java.lang.NumberFormatException: For input string: ""a20d6d3add3547ac88a1204d4af52848""  AdHoc Grouped Report with function AdHocReportsDefinition",1,1,0,0,0,0,0,0,0
group167,"java.lang.NumberFormatException: For input string: ""<REV_DATE_IN_LONG/>""  Unable to initialize the picklist ReferralPayout",1,1,0,0,0,0,0,0,0
group168,"java.lang.NumberFormatException: For input string: ""df232d24a6da4869827558a97adb15fd""  Unable to initialize the picklist ReferralPayout",1,1,0,0,0,0,0,0,0
group169,"java.lang.NumberFormatException: For input string: ""1.0000""  Unable to convert String value 1.0000to Long",1,1,0,0,0,0,0,0,0
group170,"java.lang.NumberFormatException: For input string: ""0.75""  Unable to convert String value 0.75to Long",1,1,0,0,0,0,0,0,0
group171,"java.lang.NumberFormatException: For input string: "" ""  Unable to convert String value  to Integer",1,1,0,0,0,0,0,0,0
group172,"java.lang.NumberFormatException: For input string: ""1acub4DLPlvqh4""  Error happen when invoke rule function: toNumber, root cause: A blank string is not a valid number",1,0,0,0,0,0,0,0,0
group173,"java.lang.NumberFormatException: For input string: ""Materials Engineer"" Error to parse  long value",1,0,0,0,0,0,0,0,0
group174,"java.lang.NumberFormatException: For input string: ""AC - People & Performance (1050)"" Error while validating memory",1,0,0,0,0,0,0,0,0
group175,"java.lang.NumberFormatException: For input string: ""Taubate"" java.lang.NumberFormatException (errorId=4b33594e-c9a9-4613-9232-db536095d175, fingerprint=4c1d08cc0cd4fcad69ba8413315805698e6c4453, timestamp=2020-10-13T20:35:09.727+0000): For input string: ""Taubate""",1,1,0,0,0,0,0,0,0
group176,"java.lang.NumberFormatException: For input string: ""26d96675f43246bb89faac4203a91574""  For input string: """"",1,1,0,0,0,0,0,0,0
group177,"java.lang.NumberFormatException: For input string: ""Other"" Error while validating memory",1,0,0,0,0,0,0,0,0
group178,"java.lang.NumberFormatException: For input string: ""f6f66e3e634443359f9754fa083291dd""  The input data format is invalid :",1,1,0,0,0,0,0,0,0
group180,"java.lang.NumberFormatException: For input string: ""-"" Exception in CompPlanEntryBean.getCustomFieldDoubleValue() when parsing value: - for field custom2012VP of entry 20238",1,1,0,0,0,0,0,0,0
group181,"java.lang.NumberFormatException: For input string: ""yesnoNa_NA""  For input string: ""yesnoNa_NA""",1,0,0,0,0,0,0,0,0
group182,"java.lang.NumberFormatException: For input string: ""1.0""  Unable to convert String value 1.0to Long",1,1,0,0,0,0,0,0,0
group183,"java.lang.NumberFormatException: For input string: ""Hold"" Error while validating memory",1,0,0,0,0,0,0,0,0
group184,"Caused by: java.lang.NumberFormatException: For input string: ""192066?OWASP_CSRFTOKEN"" Exception looking up folder map Id 'null'",1,0,0,0,0,0,0,0,0
group185,"java.lang.NumberFormatException: For input string: ""METTE MIKKELSEN <METTE.MIKKELSEN@SA"" java.lang.NumberFormatException (errorId=3f9733fd-f689-4190-85d2-f32c97b64ad2, fingerprint=b30a7f6b68c703fdb298740eaa3766550a01b0ae, timestamp=2020-10-13T22:30:27.747+0200): For input string: ""METTE MIKKELSEN <METTE.MIKKELSEN@SA""",1,1,0,0,0,0,0,0,0
group186,"java.lang.NumberFormatException: For input string: ""2977401 AND 324897<>209348""  The input data format is invalid :",1,0,0,0,0,0,0,0,0
group187,"java.lang.NumberFormatException: For input string: ""520619 AND 324897<>209348"" : Unexpected error occured while processing eventID: 992f2d06-daef-4932-82b0-15515da5f209 Details: null",1,0,0,0,0,0,0,0,0
group188,"java.lang.NumberFormatException: For input string: ""520619 AND 239487=239487""  Unable to initialize the picklist ReferralPayout",1,1,0,0,0,0,0,0,0
group189,"java.lang.NumberFormatException: For input string: ""3643401 AND 324897<>209348""  The input data format is invalid :",1,0,0,0,0,0,0,0,0
group190,"java.lang.NumberFormatException: For input string: ""EJECUTIVO COMERCIAL"" parse elem.getElementValue() fail",1,0,0,0,0,0,0,0,0
group191,"java.lang.NumberFormatException: For input string: ""66f5b19a66f34f4ab8bc224fa007c57b""  For input string: ""ACTIVE""",1,1,0,0,0,0,0,0,0
group192,"java.lang.NumberFormatException: For input string: ""5612211cc96849db862d05481984d58b"" parse elem.getElementValue() fail",1,0,0,0,0,0,0,0,0
group193,"java.lang.NumberFormatException: For input string: ""NA"" Exception when parsing optionIdStr",1,0,0,0,0,0,0,0,0
group194,"java.lang.NumberFormatException: For input string: ""false"" Error to parse  long value",1,0,0,0,0,0,0,0,0
group195,"java.lang.NumberFormatException: For input string: ""843b0a77e9584d92b65f50d82e6e464a"" parse elem.getElementValue() fail",1,0,0,0,0,0,0,0,0
group196,"java.lang.NumberFormatException: For input string: ""Historical Conversion"" Error to parse  long value",1,0,0,0,0,0,0,0,0
